_id,ebita,eps_predict,eps_true,gross_profit,net_income,pe,total_revenue,url
6454b38efc5fe21d165fe28d,"[""11.79"",""12.26"",""10.91"",""12.27"",""11.33"",""13.60"",""13.04"",""12.94""]","[""2.28"",""2.21"",""2.02"",""2.32"",""2.41"",""2.60"",""2.36""]","[""2.59"",""2.45"",""2.31"",""2.65"",""2.48"",""2.69"",""2.28""]","[""4.11B"",""3.92B"",""3.99B"",""3.58B"",""3.85B"",""3.41B"",""3.39B"",""14.23B""]","[""1.43B"",""1.34B"",""1.30B"",""78.00M"",""3.86B"",""541.00M"",""976.00M"",""5.45B""]","[""17.23"",""17.56"",""15.50"",""18.10"",""9.63"",""11.82"",""10.89"",""10.66""]","[""8.94B"",""8.61B"",""8.83B"",""8.70B"",""8.62B"",""8.08B"",""8.03B"",""33.43B""]",https://ru.tradingview.com/symbols/NYSE-MMM/financials-income-statement/
6454b397fc5fe21d165fe28f,"[""13.90"",""19.35"",""13.50"",""11.28"",""10.25"",""11.91"",""13.86"",""13.84""]","[""0.65"",""0.68"",""0.77"",""0.75"",""0.81"",""0.87"",""0.79""]","[""0.73"",""0.82"",""0.87"",""0.77"",""0.82"",""0.69"",""0.86""]","[""340.10M"",""360.50M"",""341.50M"",""333.70M"",""296.80M"",""346.30M"",""372.20M"",""1.35B""]","[""131.60M"",""139.60M"",""119.80M"",""126.20M"",""109.80M"",""−120.10M"",""126.90M"",""242.80M""]","[""21.15"",""28.41"",""20.10"",""16.81"",""15.46"",""38.78"",""44.48"",""44.68""]","[""914.60M"",""995.50M"",""977.70M"",""965.90M"",""874.20M"",""936.10M"",""966.40M"",""3.74B""]",https://ru.tradingview.com/symbols/NYSE-AOS/financials-income-statement/
6454b39ffc5fe21d165fe291,"[""17.36"",""20.32"",""16.38"",""14.60"",""13.95"",""17.15"","""",""""]","[""1.02"",""0.94"",""1.21"",""1.47"",""1.13"",""0.94"",""0.93""]","[""1.17"",""1.40"",""1.32"",""1.73"",""1.43"",""1.15"",""1.03""]","[""6.06B"",""6.21B"",""6.37B"",""5.77B"",""5.21B"",""4.97B"",""5.39B"",""23.79B""]","[""2.09B"",""1.98B"",""2.44B"",""2.01B"",""1.43B"",""1.03B"",""1.32B"",""5.79B""]","[""29.23"",""35.68"",""27.41"",""22.67"",""21.82"",""28.07"",""30.78"",""33.98""]","[""10.93B"",""11.47B"",""11.89B"",""11.26B"",""10.41B"",""10.09B"",""9.75B"",""41.51B""]",https://ru.tradingview.com/symbols/NYSE-ABT/financials-income-statement/
6454b3a7fc5fe21d165fe293,"[""9.46"",""10.90"",""12.33"",""11.35"",""9.87"",""11.03"","""",""""]","[""3.08"",""3.21"",""3.28"",""3.14"",""3.32"",""3.57"",""3.56""]","[""3.11"",""3.33"",""3.31"",""3.16"",""3.37"",""3.66"",""3.60""]","[""10.03B"",""10.63B"",""9.51B"",""10.42B"",""10.61B"",""11.02B"",""10.28B"",""48.67B""]","[""3.16B"",""4.02B"",""4.47B"",""913.00M"",""3.93B"",""2.47B"",""239.00M"",""7.56B""]","[""25.69"",""20.99"",""23.24"",""21.67"",""17.89"",""24.37"",""37.47"",""35.09""]","[""14.34B"",""14.89B"",""13.54B"",""14.58B"",""14.81B"",""15.12B"",""12.22B"",""56.74B""]",https://ru.tradingview.com/symbols/NYSE-ABBV/financials-income-statement/
6454b3b0fc5fe21d165fe295,"[""21.80"",""22.11"",""18.60"",""16.53"",""15.65"",""16.29"",""14.15"",""15.55""]","[""2.24"",""2.19"",""2.64"",""2.37"",""2.86"",""2.57"",""2.92""]","[""2.40"",""2.20"",""2.78"",""2.54"",""2.79"",""2.60"",""3.08""]","[""4.50B"",""4.94B"",""4.55B"",""5.34B"",""4.96B"",""5.18B"",""4.82B"",""20.30B""]","[""1.42B"",""1.79B"",""1.63B"",""1.79B"",""1.67B"",""1.96B"",""1.52B"",""6.94B""]","[""36.77"",""37.18"",""31.85"",""28.96"",""26.93"",""27.33"",""24.45"",""25.34""]","[""13.42B"",""14.97B"",""15.05B"",""16.16B"",""15.42B"",""15.75B"",""15.81B"",""63.14B""]",https://ru.tradingview.com/symbols/NYSE-ACN/financials-income-statement/
6454b49ac54edac4a6533c86,"[""11.79"",""12.26"",""10.91"",""12.27"",""11.33"",""13.60"",""13.04"",""12.94""]","[""2.28"",""2.21"",""2.02"",""2.32"",""2.41"",""2.60"",""2.36""]","[""2.59"",""2.45"",""2.31"",""2.65"",""2.48"",""2.69"",""2.28""]","[""4.11B"",""3.92B"",""3.99B"",""3.58B"",""3.85B"",""3.41B"",""3.39B"",""14.23B""]","[""1.43B"",""1.34B"",""1.30B"",""78.00M"",""3.86B"",""541.00M"",""976.00M"",""5.45B""]","[""17.23"",""17.56"",""15.50"",""18.10"",""9.63"",""11.82"",""10.89"",""10.66""]","[""8.94B"",""8.61B"",""8.83B"",""8.70B"",""8.62B"",""8.08B"",""8.03B"",""33.43B""]",https://ru.tradingview.com/symbols/NYSE-MMM/financials-income-statement/
6454b4a2c54edac4a6533c88,"[""13.90"",""19.35"",""13.50"",""11.28"",""10.25"",""11.91"",""13.86"",""13.84""]","[""0.65"",""0.68"",""0.77"",""0.75"",""0.81"",""0.87"",""0.79""]","[""0.73"",""0.82"",""0.87"",""0.77"",""0.82"",""0.69"",""0.86""]","[""340.10M"",""360.50M"",""341.50M"",""333.70M"",""296.80M"",""346.30M"",""372.20M"",""1.35B""]","[""131.60M"",""139.60M"",""119.80M"",""126.20M"",""109.80M"",""−120.10M"",""126.90M"",""242.80M""]","[""21.15"",""28.41"",""20.10"",""16.81"",""15.46"",""38.78"",""44.48"",""44.68""]","[""914.60M"",""995.50M"",""977.70M"",""965.90M"",""874.20M"",""936.10M"",""966.40M"",""3.74B""]",https://ru.tradingview.com/symbols/NYSE-AOS/financials-income-statement/
6454b4abc54edac4a6533c8a,"[""17.36"",""20.32"",""16.38"",""14.60"",""13.95"",""17.15"","""",""""]","[""1.02"",""0.94"",""1.21"",""1.47"",""1.13"",""0.94"",""0.93""]","[""1.17"",""1.40"",""1.32"",""1.73"",""1.43"",""1.15"",""1.03""]","[""6.06B"",""6.21B"",""6.37B"",""5.77B"",""5.21B"",""4.97B"",""5.39B"",""23.79B""]","[""2.09B"",""1.98B"",""2.44B"",""2.01B"",""1.43B"",""1.03B"",""1.32B"",""5.79B""]","[""29.23"",""35.68"",""27.41"",""22.67"",""21.82"",""28.07"",""30.78"",""33.98""]","[""10.93B"",""11.47B"",""11.89B"",""11.26B"",""10.41B"",""10.09B"",""9.75B"",""41.51B""]",https://ru.tradingview.com/symbols/NYSE-ABT/financials-income-statement/
6454b4b4c54edac4a6533c8c,"[""9.46"",""10.90"",""12.33"",""11.35"",""9.87"",""11.03"","""",""""]","[""3.08"",""3.21"",""3.28"",""3.14"",""3.32"",""3.57"",""3.56""]","[""3.11"",""3.33"",""3.31"",""3.16"",""3.37"",""3.66"",""3.60""]","[""10.03B"",""10.63B"",""9.51B"",""10.42B"",""10.61B"",""11.02B"",""10.28B"",""48.67B""]","[""3.16B"",""4.02B"",""4.47B"",""913.00M"",""3.93B"",""2.47B"",""239.00M"",""7.56B""]","[""25.69"",""20.99"",""23.24"",""21.67"",""17.89"",""24.37"",""37.47"",""35.09""]","[""14.34B"",""14.89B"",""13.54B"",""14.58B"",""14.81B"",""15.12B"",""12.22B"",""56.74B""]",https://ru.tradingview.com/symbols/NYSE-ABBV/financials-income-statement/
6454b4bdc54edac4a6533c8e,"[""21.80"",""22.11"",""18.60"",""16.53"",""15.65"",""16.29"",""14.15"",""15.55""]","[""2.24"",""2.19"",""2.64"",""2.37"",""2.86"",""2.57"",""2.92""]","[""2.40"",""2.20"",""2.78"",""2.54"",""2.79"",""2.60"",""3.08""]","[""4.50B"",""4.94B"",""4.55B"",""5.34B"",""4.96B"",""5.18B"",""4.82B"",""20.30B""]","[""1.42B"",""1.79B"",""1.63B"",""1.79B"",""1.67B"",""1.96B"",""1.52B"",""6.94B""]","[""36.77"",""37.18"",""31.85"",""28.96"",""26.93"",""27.33"",""24.45"",""25.34""]","[""13.42B"",""14.97B"",""15.05B"",""16.16B"",""15.42B"",""15.75B"",""15.81B"",""63.14B""]",https://ru.tradingview.com/symbols/NYSE-ACN/financials-income-statement/
